transaction_id,customer_id,transaction_date,amount,product_code,quantity,status
TXN001,CUST001,2024-01-15,1250.50,PROD-A,5,completed
TXN002,CUST002,2024-01-16,890.25,PROD-B,3,completed
TXN003,CUST003,2024-01-17,2100.00,PROD-C,10,completed
TXN004,CUST001,2024-01-18,450.75,PROD-A,2,pending
TXN005,CUST004,2024-01-19,3200.00,PROD-D,15,completed
TXN006,CUST002,2024-01-20,675.50,PROD-B,4,completed
TXN007,CUST005,2024-01-21,1800.00,PROD-C,8,completed
TXN008,CUST003,2024-01-22,920.25,PROD-A,4,cancelled
TXN009,CUST006,2024-01-23,1500.00,PROD-E,6,completed
TXN010,CUST004,2024-01-24,2250.75,PROD-D,12,completed
